@relation validation
@attribute first_person_pronoun numeric
@attribute second_person_pronoun numeric
@attribute third_person_pronoun numeric
@attribute coordinating_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas numeric
@attribute colons_semi_colon numeric
@attribute dash numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute modern_slan_acronym numeric
@attribute word_all_in_upper_case numeric
@attribute average_length_sentence numeric
@attribute average_length_token numeric
@attribute number_of_sentence numeric
@attribute class {0,4}

@DATA
1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,4.333333333333333,1, 0
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6.0,5.444444444444445,2, 0
2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,11.0,2.9,1, 0
1,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,24.0,3.0,1, 0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,9.0,3.6666666666666665,2, 0
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,9.0,4.588235294117647,2, 0
0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,12.5,4.0476190476190474,2, 0
0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,10.0,4.111111111111111,1, 0
0,0,1,1,0,0,0,0,0,0,0,4,0,1,0,1,0,14.0,3.357142857142857,1, 0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.5,3.0625,2, 0
2,0,1,0,0,1,0,0,0,0,1,5,0,2,1,1,0,21.0,3.2777777777777777,1, 0
1,0,0,1,0,0,0,0,0,0,0,1,0,5,0,2,0,19.5,3.0606060606060606,2, 0
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7.0,3.357142857142857,2, 0
0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,8.0,3.6153846153846154,2, 0
1,0,0,1,1,0,0,0,0,0,0,5,0,1,0,1,1,12.0,3.3333333333333335,1, 0
1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,8.0,5.75,1, 0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,3.5714285714285716,2, 0
1,0,1,0,3,0,0,0,0,0,1,7,1,4,0,5,0,31.0,3.2903225806451615,1, 0
0,2,2,0,0,0,0,0,0,0,0,5,0,2,0,1,0,20.0,3.5714285714285716,1, 0
0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,14,23.0,4.478260869565218,1, 0
1,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,1,14.0,3.230769230769231,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,5.0,4.0,1, 0
1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,13.0,3.869565217391304,2, 0
1,0,0,1,0,0,0,2,0,0,0,5,2,1,0,0,0,15.0,5.142857142857143,1, 0
1,0,1,1,2,0,0,0,0,0,0,4,0,0,0,1,1,11.0,3.3636363636363638,1, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,9.0,1, 0
1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,6.0,7.0,1, 0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10.0,3.642857142857143,3, 0
0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,13.0,3.2142857142857144,1, 0
1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,11.0,4.0,1, 0
1,1,0,1,0,0,0,0,0,0,0,4,0,1,0,1,0,14.0,3.466666666666667,1, 0
1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,19.0,3.0526315789473686,1, 0
1,0,1,1,3,0,0,0,0,0,0,3,0,0,0,0,0,14.0,4.384615384615385,1, 0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.0,3.8333333333333335,1, 0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,4.636363636363637,2, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6.0,5.2,1, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,3.2,1, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.285714285714286,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.666666666666666,3.9565217391304346,3, 0
0,0,2,0,1,0,0,0,0,0,0,2,1,1,0,0,0,15.0,3.6875,1, 0
0,0,0,1,0,0,0,0,0,0,0,7,2,0,0,0,12,19.0,4.473684210526316,1, 0
0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,0,26.0,3.6956521739130435,1, 0
1,0,1,0,2,0,0,0,0,0,0,4,0,1,2,0,1,23.0,4.304347826086956,1, 0
0,0,0,0,0,0,0,0,1,0,1,7,1,1,0,2,1,24.0,5.4,1, 0
0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,9.0,3.4444444444444446,1, 0
0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,8,11.5,4.15,2, 0
1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.714285714285714,1, 0
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6.0,4.4,2, 0
2,3,0,0,1,0,0,0,0,0,0,4,2,0,1,2,0,17.0,4.176470588235294,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.666666666666667,4.9411764705882355,3, 0
1,0,0,2,0,0,0,0,0,0,0,4,0,2,0,1,0,20.0,5.111111111111111,1, 0
1,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0,10.0,3.5454545454545454,1, 0
2,0,1,0,1,0,0,0,0,0,1,1,1,2,0,1,0,15.0,3.2857142857142856,1, 0
3,0,0,2,3,0,0,0,0,0,0,6,0,0,0,1,0,20.0,3.473684210526316,1, 0
0,0,0,0,2,0,0,0,0,0,0,5,0,1,0,2,0,13.5,3.96,2, 0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,9.0,5.666666666666667,1, 0
1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,6.0,4.6,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,10.0,3.5,2, 0
0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,13.0,4.3076923076923075,1, 0
2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.0,3.6,1, 0
1,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,18.0,4.277777777777778,1, 0
2,0,2,0,1,1,0,0,0,0,0,4,0,0,0,0,0,18.0,3.176470588235294,1, 0
1,0,2,0,2,0,0,0,0,0,0,3,0,1,1,2,0,14.0,4.230769230769231,1, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.666666666666666,3.7857142857142856,3, 0
0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,6.0,6.2,1, 0
1,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,9.0,4.0,1, 0
1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,13.0,4.260869565217392,2, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,3.5,1, 0
1,0,1,0,2,0,0,0,0,0,0,6,0,1,0,1,0,19.0,4.421052631578948,1, 0
1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,17.0,6.470588235294118,1, 0
